"feature_id_full","feature_id","feature_mz","feature_rt","control_vs_trich_p_value","control_vs_trich_p_value_minus_log10","control_vs_trich_fold_change","control_vs_trich_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"886_163_1.7",886,162.998458825625,1.7315259,0.00112822478207561,2.94760436498956,0.74025172147682,-0.433912154451526,"Shikimates and Phenylpropanoids","Phenolic acids (C6-C1)","Simple phenolic acids","Hex-5-yne-1-sulfonyl chloride",NA,NA,"C#CCCCCS(=O)(=O)Cl",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C6H9ClO2S/c1-2-3-4-5-6-10(7,8)9/h1H,3-6H2","VYNDGSIDPUZLRH"
"3953_309.21_6.3",3953,309.206371368422,6.3456845,0.00116094754860173,2.93518740116359,0.679691979510607,-0.557046996036966,"Amino acids and Peptides","Small peptides","Tripeptides","2-chloro-N-[3-(diethylamino)propyl-ethylcarbamoyl]propanamide",NA,NA,"CCN(CC)CCCN(CC)C(=O)NC(=O)C(C)Cl",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C13H26ClN3O2/c1-5-16(6-2)9-8-10-17(7-3)13(19)15-12(18)11(4)14/h11H,5-10H2,1-4H3,(H,15,18,19)","GVXMYUZLUWQHPE"
"2169_324.08_3.5",2169,324.077258106044,3.4913628,0.00128665823303275,2.89053679670025,0.684460039146275,-0.546961779859111,"Amino acids and Peptides","Small peptides","Aminoacids","ethyl N-[2-fluoro-4-nitro-5-(propylamino)phenyl]carbamate",NA,"COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](C)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)ccc1O","CCCNC1=CC(=C(C=C1[N+](=O)[O-])F)NC(=O)OCC",NA,NA,NA,NA,"UIDGLYUNOUKLBM","InChI=1S/C28H32O16/c1-9-18(32)21(35)23(37)27(41-9)40-8-16-19(33)22(36)24(38)28(43-16)44-26-20(34)17-13(31)6-11(29)7-15(17)42-25(26)10-3-4-12(30)14(5-10)39-2/h3-7,9,16,18-19,21-24,27-33,35-38H,8H2,1-2H3/t9-,16+,18-,19-,21-,22+,23+,24-,27+,28-/m0/s1","UIDGLYUNOUKLBM-WJVJOWDZSA-N","InChI=1S/C12H16FN3O4/c1-3-5-14-10-7-9(15-12(17)20-4-2)8(13)6-11(10)16(18)19/h6-7,14H,3-5H2,1-2H3,(H,15,17)","FDKLQOLSQPUZCK"
"6904_226.95_11.4",6904,226.951702654226,11.386122,0.00142745063241224,2.84543890265598,0.740509124272799,-0.433410582922165,"Alkaloids","Histidine alkaloids","Imidazole alkaloids","4-Nitro-2-hydroximino-3-chloro-3-thiolene 1,1-dioxide",NA,NA,"C1C(=C(C(=NO)S1(=O)=O)Cl)[N+](=O)[O-]",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C4H3ClN2O5S/c5-3-2(7(9)10)1-13(11,12)4(3)6-8/h8H,1H2","KSHFVPQPZKEHDG"
"6746_138.1_11.1",6746,138.102739294715,11.061135,0.00163423398524848,2.78668576223005,0.692008642119771,-0.53113803987871,"Alkaloids","Peptide alkaloids","Pyrazine and Piperazine alkaloids","2-ethenyl-6-methylpyrazine",NA,NA,"CC1=CN=CC(=N1)C=C",NA,NA,NA,NA,"IXEUYAHNQXAWNT","nan","nan","InChI=1S/C7H8N2/c1-3-7-5-8-4-6(2)9-7/h3-5H,1H2,2H3","KZXOOWGVLDEHDT"
"128_219.03_0.4",128,219.026828272673,0.42354894,0.00172102380760248,2.76421312186368,0.722447550322586,-0.469035243102717,"Amino acids and Peptides","Small peptides","Imidazole alkaloids","2-[[(1Z,3Z)-5-amino-2-nitropenta-1,3-dienyl]disulfanyl]ethanol",NA,"O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","C(CSSC=C(C=CCN)[N+](=O)[O-])O",NA,NA,NA,NA,"CDAISMWEOUEBRE","InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3+,4+,5-,6-","CDAISMWEOUEBRE-CDRYSYESSA-N","InChI=1S/C7H12N2O3S2/c8-3-1-2-7(9(11)12)6-14-13-5-4-10/h1-2,6,10H,3-5,8H2","BNAFXMYHOFKYRE"
"2005_411.2_3.3",2005,411.199484142254,3.294045,0.00172498489000396,2.76321470477427,0.706761902740557,-0.500703819865684,"Terpenoids","Apocarotenoids","Megastigmanes","2-{[4-(2,4-dihydroxy-2,6,6-trimethylcyclohexylidene)but-3-en-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","COC1=CC=C2C(=O)[C@@]3(O)[C@@H](COC4=C3C=C5OCOC5=C4)OC2=C1CC=C(C)C",NA,"CC(C=C=C1C(CC(CC1(C)O)O)(C)C)OC2C(C(C(C(O2)CO)O)O)O","InChI=1S/C23H22O7/c1-12(2)4-5-13-16(26-3)7-6-14-21(13)30-20-10-27-17-9-19-18(28-11-29-19)8-15(17)23(20,25)22(14)24/h4,6-9,20,25H,5,10-11H2,1-3H3/t20-,23+/m1/s1",NA,"ZFSLOJRJABHMTL-OFNKIYASSA-N","ZFSLOJRJABHMTL",NA,NA,NA,"InChI=1S/C19H32O8/c1-10(26-17-16(24)15(23)14(22)12(9-20)27-17)5-6-13-18(2,3)7-11(21)8-19(13,4)25/h5,10-12,14-17,20-25H,7-9H2,1-4H3","IZRMHEYYBIXPBM"
"1801_409.18_3.1",1801,409.183649519589,3.0904167,0.00174562463311803,2.75804913823159,0.704046128410816,-0.506258138966039,"Amino acids and Peptides","Small peptides","Tripeptides","1-[2-[[2-(2-Aminopropanoylamino)-4-methylpentanoyl]amino]propanoyl]pyrrolidine-2-carboxylic acid",NA,NA,"CC(C)CC(C(=O)NC(C)C(=O)N1CCCC1C(=O)O)NC(=O)C(C)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C17H30N4O5/c1-9(2)8-12(20-14(22)10(3)18)15(23)19-11(4)16(24)21-7-5-6-13(21)17(25)26/h9-13H,5-8,18H2,1-4H3,(H,19,23)(H,20,22)(H,25,26)","RUQBGIMJQUWXPP"
"3791_269.21_5.9",3791,269.212791672074,5.875464,0.0018563345892932,2.73134374299461,0.712989822033676,-0.488046612617002,NA,NA,NA,NA,NA,"CCCCC[C@H]1O[C@H]1C/C=C\CCCCCC(=O)O",NA,NA,NA,NA,NA,"OOBAENXGGRRPTQ","InChI=1S/C16H28O3/c1-2-3-8-11-14-15(19-14)12-9-6-4-5-7-10-13-16(17)18/h6,9,14-15H,2-5,7-8,10-13H2,1H3,(H,17,18)/b9-6-/t14-,15+/m1/s1","OOBAENXGGRRPTQ-IIQYJXCPSA-N",NA,NA
"1916_594.35_3.2",1916,594.351772104282,3.1984723,0.0018582281936297,2.73090095495545,0.71658298411657,-0.480794308974918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4383_1017.59_7.2",4383,1017.58681415607,7.222604,0.00203722886676512,2.69096017866316,1.51521160823698,0.599519288639223,"Amino acids and Peptides","Oligopeptides","Linear peptides","N-(1-hydroxyethyl)-N''-{[2',8',9',18'-tetrahydroxy-15'-(hydroxymethyl)-23'-(1H-imidazol-1-yl)-11',17',21',21'-tetramethyl-7'-[(methylamino)methyl]-5'-oxo-20'-{spiro[4.5]decan-7-ylidene}-25',26'-dithiaspiro[cyclopentane-1,27'-pentacyclo[14.11.1.0²,¹⁵.0³,¹².0⁶,¹¹]octacosan]-3'-en-13'-yl]methyl}guanidine",NA,NA,"CC1C2CC(C3(CCCC3)SSCC(CC(C(=C4CCCC5(C4)CCCC5)CC1O)(C)C)N6C=CN=C6)C7(C2(CC(C8C7=CC(=O)C9C8(CC(C(C9CNC)O)O)C)CN=C(N)NC(C)O)CO)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C54H86N6O7S2/c1-32-38-22-44(54(67)40-21-42(64)46-37(28-56-6)47(66)43(65)26-50(46,5)45(40)35(24-52(38,54)30-61)27-58-48(55)59-33(2)62)53(16-9-10-17-53)69-68-29-36(60-19-18-57-31-60)25-49(3,4)39(20-41(32)63)34-12-11-15-51(23-34)13-7-8-14-51/h18-19,21,31-33,35-38,41,43-47,56,61-63,65-67H,7-17,20,22-30H2,1-6H3,(H3,55,58,59)","WKHZISBXNZWOQY"
"6654_769.49_10.9",6654,769.485590085219,10.860501,0.00222976812637536,2.6517402968942,0.660546909880001,-0.598267074296255,"Terpenoids","Glycerolipids","Glycosyldiacylglycerols",NA,NA,"CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC(=O)OC[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC","CCC1C=CC=CCC(C(C(C(=O)C(C(C(C(=O)C(C(C(C=CC(=O)OC2C(C(C=C1)[O+]3C4C3(C2C)OC(C(C4)C)CC(C)O)C)C)O)C)C)O)C)(C)O)O)C",NA,NA,NA,NA,"UORRAKMCELTARB","InChI=1S/C45H68O10/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(47)52-36-38(37-53-45-44(51)43(50)42(49)39(35-46)55-45)54-41(48)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,23-26,29,31,38-39,42-46,49-51H,3-4,9-10,15-16,21-22,27-28,30,32-37H2,1-2H3/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-,25-23-,26-24-,31-29-/t38-,39-,42+,43+,44-,45-/m1/s1","UORRAKMCELTARB-SQKRHONHSA-N","InChI=1S/C45H71O11/c1-12-33-17-15-13-14-16-25(3)42(51)44(11,53)43(52)31(9)40(50)30(8)39(49)29(7)38(48)24(2)18-21-37(47)54-41-28(6)35(20-19-33)56-36-22-26(4)34(23-27(5)46)55-45(36,56)32(41)10/h13-15,17-21,24-36,38,40-42,46,48,50-51,53H,12,16,22-23H2,1-11H3/q+1","RFHCYXAYEROVAS"
"7124_429.37_11.9",7124,429.373395093225,11.915119,0.00229723377660825,2.63879480684031,0.709862505603074,-0.49438848110656,"Terpenoids","Meroterpenoids","Prenyl quinone meroterpenoids","2,5,7,8-tetramethyl-2-(4,8,12-trimethyltridec-3-en-1-yl)-3,4-dihydro-2H-1-benzopyran-6-ol",NA,"CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C(=O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C","CC1=C(C2=C(CCC(O2)(C)CCC=C(C)CCCC(C)CCCC(C)C)C(=C1O)C)C",NA,NA,NA,NA,"ICFXJOAKQGDRCT","InChI=1S/C29H48O2/c1-7-20(18(2)3)9-8-19(4)23-10-11-24-27-25(13-15-29(23,24)6)28(5)14-12-22(30)16-21(28)17-26(27)31/h17-20,22-25,27,30H,7-16H2,1-6H3/t19-,20-,22+,23-,24+,25+,27+,28+,29-/m1/s1","ICFXJOAKQGDRCT-ZIHMWMKCSA-N","InChI=1S/C29H48O2/c1-20(2)12-9-13-21(3)14-10-15-22(4)16-11-18-29(8)19-17-26-25(7)27(30)23(5)24(6)28(26)31-29/h16,20-21,30H,9-15,17-19H2,1-8H3","GJVRGQPYEPLQJL"
"4127_1453.81_6.7",4127,1453.81367272307,6.6531563,0.00241364786291854,2.61732609063747,1.37309773812378,0.457434321251868,"Amino acids and Peptides","Oligopeptides","Lipopeptides","Verrucamide A",NA,NA,"CCC(C)C1C(=O)N(C(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)NCC(=O)NC(C(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NCC(=O)N1)C)C)C(C)C)C(C)O)C)C(C)C)C(C)O)C)C(C)C)CC2=CC=CC=C2)C)C(C)C)CO)C(C)CC)C)CO)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C68H114N14O18/c1-22-38(11)53-68(100)79(18)46(33-84)63(95)80(19)54(39(12)23-2)60(92)71-44(32-83)58(90)74-51(36(7)8)65(97)78(17)45(29-43-27-25-24-26-28-43)59(91)70-31-47(87)72-49(34(3)4)66(98)81(20)55(41(14)85)62(94)76-52(37(9)10)67(99)82(21)56(42(15)86)61(93)75-50(35(5)6)64(96)77(16)40(13)57(89)69-30-48(88)73-53/h24-28,34-42,44-46,49-56,83-86H,22-23,29-33H2,1-21H3,(H,69,89)(H,70,91)(H,71,92)(H,72,87)(H,73,88)(H,74,90)(H,75,93)(H,76,94)","BUPUBRBSFXCQCS"
"2172_283.05_3.5",2172,283.050657107518,3.490912,0.002528286302261,2.59717374824892,0.70939605887953,-0.495336779628007,NA,NA,NA,NA,NA,"CC(=O)C#CC1=C(C)CC(O)CC1(C)C",NA,NA,NA,NA,NA,"SZKRSYBOEULCED","InChI=1S/C13H18O2/c1-9-7-11(15)8-13(3,4)12(9)6-5-10(2)14/h11,15H,7-8H2,1-4H3","SZKRSYBOEULCED-UHFFFAOYSA-N",NA,NA
"643_325.14_1.2",643,325.13948106962,1.218122,0.00268171757680415,2.57158696149335,0.714108289346878,-0.485785229795924,"Alkaloids","Tryptophan alkaloids","Cyanogenic glycosides","Isosorbide-2-(methylcarbamate)-5-benzoate",NA,NA,"CNC(=O)OC1COC2C1OCC2OC(=O)C3=CC=CC=C3",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C15H17NO6/c1-16-15(18)22-11-8-20-12-10(7-19-13(11)12)21-14(17)9-5-3-2-4-6-9/h2-6,10-13H,7-8H2,1H3,(H,16,18)","XVQSZSYQBPAKTI"
"4123_1090.36_6.6",4123,1090.36131387577,6.6455283,0.00273386504751357,2.56322292742976,1.36599907035739,0.449956501789613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1038_234.14_2",1038,234.135158944201,2.0092628,0.00303249537968141,2.51819985215319,0.702135302789787,-0.510179027527228,NA,NA,NA,NA,"O=C(O)C1CCCN1C(=O)c1ccccc1O","CCCC(=O)O[C@H]1C[C@H]2CC[C@@H](C1)N2C|CC(C)C(=O)OC1CC2CCC(C1)N2C|CC(C)CC(=O)O[C@H]1C[C@H]2CC[C@@H](C1)N2",NA,"InChI=1S/C12H13NO4/c14-10-6-2-1-4-8(10)11(15)13-7-3-5-9(13)12(16)17/h1-2,4,6,9,14H,3,5,7H2,(H,16,17)","RQLIRNHFEYPHIB-UHFFFAOYSA-N","RQLIRNHFEYPHIB-UHFFFAOYSA-N","RQLIRNHFEYPHIB","NGOWJAIPSPMOOJ|UAINLAXRDPKCOO|SVSJZSVNPKBVSA","InChI=1S/C12H21NO2/c1-3-4-12(14)15-11-7-9-5-6-10(8-11)13(9)2/h9-11H,3-8H2,1-2H3/t9-,10+,11+|InChI=1S/C12H21NO2/c1-8(2)12(14)15-11-6-9-4-5-10(7-11)13(9)3/h8-11H,4-7H2,1-3H3|InChI=1S/C12H21NO2/c1-8(2)5-12(14)15-11-6-9-3-4-10(7-11)13-9/h8-11,13H,3-7H2,1-2H3/t9-,10+,11+","NGOWJAIPSPMOOJ-URLYPYJESA-N|UAINLAXRDPKCOO-UHFFFAOYSA-N|SVSJZSVNPKBVSA-URLYPYJESA-N",NA,NA
"1764_608.39_3",1764,608.385857887188,3.0382948,0.00306260390683458,2.51390916780313,0.729606203026218,-0.45481009970883,"Amino acids and Peptides","Oligopeptides","Cyclamides","(5S,6S,7R)-3-[(2R)-1-hydroxy-3-methylbutan-2-yl]-9-methyl-2-N-(2-morpholin-4-ylethyl)-4-oxo-2-N,6-N-bis(prop-2-enyl)-6-N-propyl-10-thia-3-azatricyclo[5.2.1.01,5]decane-2,6-dicarboxamide",NA,NA,"CCCN(CC=C)C(=O)C1C2CC(C3(C1C(=O)N(C3C(=O)N(CCN4CCOCC4)CC=C)C(CO)C(C)C)S2)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C31H50N4O5S/c1-7-10-33(11-8-2)28(37)25-24-19-22(6)31(41-24)26(25)29(38)35(23(20-36)21(4)5)27(31)30(39)34(12-9-3)14-13-32-15-17-40-18-16-32/h7,9,21-27,36H,1,3,8,10-20H2,2,4-6H3","HOBFTKVCJYFQNY"
"4537_357.15_7.5",4537,357.147559522954,7.5405746,0.00317464414191439,2.49830494938444,0.735791153715177,-0.442631763735437,"Amino acids and Peptides","Small peptides","Aminoacids","alpha,alpha-Dimethyl-2-((2-methoxyphenoxy)methyl)-beta-oxo-3-thiazolidinepropanoic acid",NA,NA,"CC(C)(C(=O)N1CCSC1COC2=CC=CC=C2OC)C(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C16H21NO5S/c1-16(2,15(19)20)14(18)17-8-9-23-13(17)10-22-12-7-5-4-6-11(12)21-3/h4-7,13H,8-10H2,1-3H3,(H,19,20)","ZAXOTPWRDKTQQT"
"4128_1453.48_6.7",4128,1453.47982441649,6.656781,0.00319575736863161,2.49542620103028,1.37190601896554,0.456181654530888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4634_480.31_7.7",4634,480.309356410988,7.7343254,0.00320106746273562,2.49470517297081,0.690645034908568,-0.533983683776125,"Fatty acids","Glycerophospholipids","Glycerophosphoethanolamines","1-Oleoyl-Sn-Glycero-3-Phosphoethanolamine",NA,NA,"CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C23H46NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h9-10,22,25H,2-8,11-21,24H2,1H3,(H,27,28)","PYVRVRFVLRNJLY"
"4512_1326.07_7.5",4512,1326.07266541388,7.482895,0.00332103611176122,2.47872640201277,1.41276677973598,0.498523324490835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6679_338.34_10.9",6679,338.341832060207,10.899318,0.003601919769178,2.44346596508432,0.745409502308283,-0.423894884559991,"Fatty acids","Fatty acyls","Fatty alcohols",NA,NA,"CCC=CCC=CCC=CCCCCCCCCCCCCO","CCCCCCC=CCCCCCCCCCCCC(C#C)O",NA,NA,NA,NA,"LCDDKECOTQQPAO","InChI=1S/C22H40O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23/h3-4,6-7,9-10,23H,2,5,8,11-22H2,1H3","LCDDKECOTQQPAO-UHFFFAOYSA-N","InChI=1S/C22H40O/c1-3-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)4-2/h2,9-10,22-23H,3,5-8,11-21H2,1H3","FEAQSNKVLXILNQ"
"696_237.03_1.3",696,237.034815734507,1.330483,0.00372099995832337,2.42934033484273,0.718969378553237,-0.475997768381553,NA,NA,NA,NA,NA,"O=C(O)c1ccc2c(c1)C=CC(=CCl)CO2",NA,NA,NA,NA,NA,"WMKQQACRJZCVTG","InChI=1S/C12H9ClO3/c13-6-8-1-2-9-5-10(12(14)15)3-4-11(9)16-7-8/h1-6H,7H2,(H,14,15)","WMKQQACRJZCVTG-UHFFFAOYSA-N",NA,NA
